file_path,raw_text,processed_text,text
images/IMG_7009.PNG,"Give it away.

That poem you love,
That saved your life,
Wasn’t it given to you?

",give it away that poem you love that saved your life wasnt it given to you,"Give it away.

That poem you love,
That saved your life,
Wasn’t it given to you?

 give it away that poem you love that saved your life wasnt it given to you"
images/IMG_7035.PNG,"then the voice in my bead said
WHETHER YOU LOVE WHAT YOU LOVE

OR LIVE IN DIVIDED CEASELESS
REVOLT AGAINST IT

WHAT YOU LOVE IS YOUR FATE
",then the voice in my bead said whether you love what you love or live in divided ceaseless revolt against it what you love is your fate,"then the voice in my bead said
WHETHER YOU LOVE WHAT YOU LOVE

OR LIVE IN DIVIDED CEASELESS
REVOLT AGAINST IT

WHAT YOU LOVE IS YOUR FATE
 then the voice in my bead said whether you love what you love or live in divided ceaseless revolt against it what you love is your fate"
images/IMG_6854.JPG,"On a Train

The book I've been reading
rests on my knee. You sleep.

It's beautiful out there -

fields, little lakes and winter trees
in February sunlight,

every car park a shining mosaic.

Long, radiant minutes,
your hand in my hand.

still warm, still warm.

- Wendy Cope
",on a train the book ive been reading rests on my knee you sleep its beautiful out there fields little lakes and winter trees in february sunlight every car park a shining mosaic long radiant minutes your hand in my hand still warm still warm wendy cope,"On a Train

The book I've been reading
rests on my knee. You sleep.

It's beautiful out there -

fields, little lakes and winter trees
in February sunlight,

every car park a shining mosaic.

Long, radiant minutes,
your hand in my hand.

still warm, still warm.

- Wendy Cope
 on a train the book ive been reading rests on my knee you sleep its beautiful out there fields little lakes and winter trees in february sunlight every car park a shining mosaic long radiant minutes your hand in my hand still warm still warm wendy cope"
images/IMG_3643.PNG,"To the Woman Crying Uncontrollably in the Next Stall

Ifyou ever woke in your dress at 4 AM ever
closed your legs to a man you loved opened
them for one you didn’t moved against
apillow in the dark stood miserably on a beach
seaweed clinging to your ankles paid

good money for a bad haircut backed away
froma mirror that wanted to kill you bled

into the back seat for lack of a tampon

ifyou swam across a river under rain sang
using a dildo for a microphone stayed up

to watch the moon eat the sun entire

ripped out the stitches in your heart

because why not if you think nothing &

no one can / listen T love you joy is coming.
",to the woman crying uncontrollably in the next stall if you ever woke in your dress at4amever closed your legs to a man you loved opened them for one you didnt moved against a pillow in the dark stood miserably on a beach seaweed clinging to your ankles paid good money for a bad haircut backed away from a mirror that wanted to kill you bled into the backseat for lack of a tampon if you swam across a river under rain sang using a dildo for a microphone stayed up to watch the moon eat the sun entire ripped out the stitches in your heart because why not if you think nothing no one can listen t love you joy is coming,"To the Woman Crying Uncontrollably in the Next Stall

Ifyou ever woke in your dress at 4 AM ever
closed your legs to a man you loved opened
them for one you didn’t moved against
apillow in the dark stood miserably on a beach
seaweed clinging to your ankles paid

good money for a bad haircut backed away
froma mirror that wanted to kill you bled

into the back seat for lack of a tampon

ifyou swam across a river under rain sang
using a dildo for a microphone stayed up

to watch the moon eat the sun entire

ripped out the stitches in your heart

because why not if you think nothing &

no one can / listen T love you joy is coming.
 to the woman crying uncontrollably in the next stall if you ever woke in your dress at4amever closed your legs to a man you loved opened them for one you didnt moved against a pillow in the dark stood miserably on a beach seaweed clinging to your ankles paid good money for a bad haircut backed away from a mirror that wanted to kill you bled into the backseat for lack of a tampon if you swam across a river under rain sang using a dildo for a microphone stayed up to watch the moon eat the sun entire ripped out the stitches in your heart because why not if you think nothing no one can listen t love you joy is coming"
images/IMG_7431.PNG,"I'm falling into the flesh,

into the sadness of the body
that cannot give up its habits,
habits of the hands and skin.

I will be one of those old women
with good bones and stringy necks
who will not let go of anything.
",im falling into the flesh into the sadness of the body that can not give up its habits habits of the hands and skin i will be one of those old women with good bones and stringy necks who will not let go of anything,"I'm falling into the flesh,

into the sadness of the body
that cannot give up its habits,
habits of the hands and skin.

I will be one of those old women
with good bones and stringy necks
who will not let go of anything.
 im falling into the flesh into the sadness of the body that can not give up its habits habits of the hands and skin i will be one of those old women with good bones and stringy necks who will not let go of anything"
images/IMG_5031.JPG,"Self-help

How to stop time: kiss.
How to travel in time: read.
How to escape time: music.
How to feel time: write.

How to release time: breathe.
",self help how to stop time kiss how to travel in time read how to escape time music how to feel time write how to release time breathe,"Self-help

How to stop time: kiss.
How to travel in time: read.
How to escape time: music.
How to feel time: write.

How to release time: breathe.
 self help how to stop time kiss how to travel in time read how to escape time music how to feel time write how to release time breathe"
images/IMG_6935.PNG,"Tomorrow I will start to be happy.
The morning will light up like a celebratory cigar.
Sunbeams sprawling on the lawn will sot,

dew sparkling like a eut-glass tumbler of champagne.
Today will end the worst phase of my life.

Iwill put my shapeless days behind me,
fencing off the past, as a golden rind

of sand parts slipshod sea from solid land.

Itis tomorrow I want to look back on, not today.
Tomorrow I start to be happy; today is almost yesterday.
",tomorrow i will start to be happy the morning will light up like a celebratory cigar sunbeams sprawling on the lawn will sot dew sparkling like a eut glass tumbler of champagne today will end the worst phase of my life i will put my shapeless days behind me fencing off the past as a golden rind of sand parts slipshod sea from solid land it is tomorrow i want to look back on not today tomorrow i start to be happy today is almost yesterday,"Tomorrow I will start to be happy.
The morning will light up like a celebratory cigar.
Sunbeams sprawling on the lawn will sot,

dew sparkling like a eut-glass tumbler of champagne.
Today will end the worst phase of my life.

Iwill put my shapeless days behind me,
fencing off the past, as a golden rind

of sand parts slipshod sea from solid land.

Itis tomorrow I want to look back on, not today.
Tomorrow I start to be happy; today is almost yesterday.
 tomorrow i will start to be happy the morning will light up like a celebratory cigar sunbeams sprawling on the lawn will sot dew sparkling like a eut glass tumbler of champagne today will end the worst phase of my life i will put my shapeless days behind me fencing off the past as a golden rind of sand parts slipshod sea from solid land it is tomorrow i want to look back on not today tomorrow i start to be happy today is almost yesterday"
images/IMG_7197.JPG,"Wish

Please one more
kiss in the kitchen
before we turn the lights off
",wish please one more kiss in the kitchen before we turn the lights off,"Wish

Please one more
kiss in the kitchen
before we turn the lights off
 wish please one more kiss in the kitchen before we turn the lights off"
images/IMG_6060.PNG,"Ona Train

The book I've been reas
rests on my knee. You sleep.

beautiful out there—
ds, little lakes and winter trees
in February sunlight,

every car park a shining mos:

Long radiant minutes,
your hand in my hand,
still ‘warm, still warm.

",on a train the book ive been re as rests on my knee you sleep beautiful out there ds little lakes and winter trees in february sunlight every car park a shining mos long radiant minutes your hand in my hand still warm still warm,"Ona Train

The book I've been reas
rests on my knee. You sleep.

beautiful out there—
ds, little lakes and winter trees
in February sunlight,

every car park a shining mos:

Long radiant minutes,
your hand in my hand,
still ‘warm, still warm.

 on a train the book ive been re as rests on my knee you sleep beautiful out there ds little lakes and winter trees in february sunlight every car park a shining mos long radiant minutes your hand in my hand still warm still warm"
images/IMG_5569.JPG,"“what was said at the bus stop

: lately has been a long time

says the girl from Pakistan, Lahore to be specific
at the bus stop when the white man

ask her where she’s from & then

says oh, you from Lahore?

it’s pretty bad over there lately.

lately has been a long time

she says & we look at each other & the look says
yes, i too wish dude would stop

asking us about where we from

but on the other side of our side eyes

is maybe a hand where hands do no good
a look to say, yes, i know lately has been
along time for your people too

& i'm sorry the world is so good at making
us feel like we have to fight for space

to fight for our lives

“solidarity” is a word, a lot of people say it

i’m not sure what it means in the flesh

iknow ilove & have cried for my friends

their browns a different brown than mine

i've danced their dances when taught

& tasted how their mothers miracle the rice
different than mine. i know sometimes

ican’t see beyond my own pain, past black

& white, how bullets love any flesh.

iknow it’s foolish to compare.

” what advice do the drowned have for the burned?
what gossip is there between the hanged & the buried?

& i want to reach across our great distance

that is sometimes an ocean & sometimes centimeters
& say, look. your people, my people, all that has happened
to us & still make love under rusted moons, still pull
",what was said at the bus stop lately has been a long time says the girl from pakistan lahore to be specific at the bus stop when the white man ask her where she s from then says oh you from lahore its pretty bad over there lately lately has been a long time she says we look at each other the look says yes i too wish dude would stop asking us about where we from but on the other side of our side eyes is may be a hand where hands do no good a look to say yes i know lately has been a long time for your people too im sorry the world is so good at making us feel like we have to fight for space to fight for our lives solidarity is a word a lot of people say it im not sure what it means in the flesh i know i love have cried for my friends their browns a different brown than mine ive danced their dances when taught tasted how their mothers miracle the rice different than mine i know sometimes i cant see beyond my own pain past black white how bullets love any flesh i know its foolish to compare what advice do the drowned have for the burned what gossip is there between the hanged the buried i want to reach across our great distance that is sometimes an ocean sometimes centimeters say look your people my people all that has happened to us still make love under rusted moons still pull,"“what was said at the bus stop

: lately has been a long time

says the girl from Pakistan, Lahore to be specific
at the bus stop when the white man

ask her where she’s from & then

says oh, you from Lahore?

it’s pretty bad over there lately.

lately has been a long time

she says & we look at each other & the look says
yes, i too wish dude would stop

asking us about where we from

but on the other side of our side eyes

is maybe a hand where hands do no good
a look to say, yes, i know lately has been
along time for your people too

& i'm sorry the world is so good at making
us feel like we have to fight for space

to fight for our lives

“solidarity” is a word, a lot of people say it

i’m not sure what it means in the flesh

iknow ilove & have cried for my friends

their browns a different brown than mine

i've danced their dances when taught

& tasted how their mothers miracle the rice
different than mine. i know sometimes

ican’t see beyond my own pain, past black

& white, how bullets love any flesh.

iknow it’s foolish to compare.

” what advice do the drowned have for the burned?
what gossip is there between the hanged & the buried?

& i want to reach across our great distance

that is sometimes an ocean & sometimes centimeters
& say, look. your people, my people, all that has happened
to us & still make love under rusted moons, still pull
 what was said at the bus stop lately has been a long time says the girl from pakistan lahore to be specific at the bus stop when the white man ask her where she s from then says oh you from lahore its pretty bad over there lately lately has been a long time she says we look at each other the look says yes i too wish dude would stop asking us about where we from but on the other side of our side eyes is may be a hand where hands do no good a look to say yes i know lately has been a long time for your people too im sorry the world is so good at making us feel like we have to fight for space to fight for our lives solidarity is a word a lot of people say it im not sure what it means in the flesh i know i love have cried for my friends their browns a different brown than mine ive danced their dances when taught tasted how their mothers miracle the rice different than mine i know sometimes i cant see beyond my own pain past black white how bullets love any flesh i know its foolish to compare what advice do the drowned have for the burned what gossip is there between the hanged the buried i want to reach across our great distance that is sometimes an ocean sometimes centimeters say look your people my people all that has happened to us still make love under rusted moons still pull"
images/IMG_5970.PNG,"And Then I Tried

And then I tried to put myself at

a distance from the subject, but the
distance was just another

angle on the same subject and

it was always the same subject, you.
",and then i tried and then i tried to put myself at a distance from the subject but the distance was just another angle on the same subject and it was always the same subject you,"And Then I Tried

And then I tried to put myself at

a distance from the subject, but the
distance was just another

angle on the same subject and

it was always the same subject, you.
 and then i tried and then i tried to put myself at a distance from the subject but the distance was just another angle on the same subject and it was always the same subject you"
